Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
positive regulation of protein metabolic process (GO:0051247)	28/96	0.0225851891745175	0.484253026712448	0	0	1.44496738502188	5.47709242353684	PRKN;APP;VCP;LDB1;LRP1;UHRF1;TNFAIP3;NEDD4L;IDE;FOXO1;OAZ2;FZR1;APOE;RILP;BARD1;SMURF2;PRMT1;PLK2;NR1H2;AXIN1;SNF8;SORL1;NEDD4;ASB9;AGTR1;TRIM32;VPS28;EIF4G1
negative regulation of mitotic cell cycle (GO:0045930)	16/48	0.0226782398459484	0.484213631522488	0	0	1.65139129716786	6.25274446591957	GADD45GIP1;BTG2;FZD3;BTG1;SMAD3;DUSP1;GADD45A;ANGEL2;ZFP36L2;CDC14A;DLG1;RGCC;BCL6;CTNNB1;E4F1;MCPH1
entry into host cell (GO:0030260)	12/33	0.0230221398907724	0.489508249427548	0	0	1.80151777872858	6.79406205708548	NPC1;CD81;AXL;HYAL2;CTNND1;CXCR4;CTNNB1;GAS6;EPS15;UBA52;CBLL1;NECTIN1
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	12/33	0.0230221398907724	0.487477094865608	0	0	1.80151777872858	6.79406205708548	PRKN;TRIM6;IL7;AXL;CASP4;NLRC5;PARP14;PARP9;GAS6;TRIM44;HSPA1B;HSPA1A
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	26/88	0.0232616912114513	0.490514091950562	0	0	1.46373319521697	5.50502359221407	PSMD11;PSMD13;ARRB2;CELSR1;PSMB10;PSMD8;PSMB6;PARD6A;PSMB5;PSMD2;PSMD3;PSMD1;PSMF1;AP2M1;FZD3;SMURF2;FZD5;FZD4;FZD6;ARHGEF19;PSMB9;PSMC5;DAAM1;PSMC3;PSMC4;UBA52
regulation of autophagy (GO:0010506)	53/203	0.0238840358042912	0.501564751890115	0	0	1.29345426723985	4.83046316801103	USP33;LRRK2;ZDHHC8;HMGB1;SOGA1;FLCN;UCHL1;STK11;CASP3;LEPR;MLST8;WDR6;DNM1L;SH3GLB1;SREBF1;ATP6V0B;TMEM150A;DAPK1;DAPK3;WDR75;RRAGC;RRAGD;EXOC4;ATP6V1B2;ULK2;ULK1;VDAC1;DEPDC5;GAPDH;EXOC1;PRKN;ATP6V1A;ROCK1;ITPR1;HTRA2;RASIP1;FOXO1;MTDH;TP53INP1;ATP6V0A2;ZKSCAN3;TBC1D14;BMF;ATP6V0E2;KDM4A;OSBPL7;FZD5;PLK2;BNIP3;SVIP;TPCN1;NEDD4;EIF4G1
double-strand break repair via homologous recombination (GO:0000724)	23/76	0.023979066094591	0.501496615904499	0	0	1.49928946716556	5.59321041760944	GEN1;SWSAP1;NSMCE1;RPA1;HUS1;RPA2;NUCKS1;BRCA1;SPIDR;RAD54B;RAD51B;RAD51AP1;RECQL4;RAD51D;WRN;RAD51C;CDC45;RAD51;RNF138;RBBP8;NABP1;POLK;FAN1
regulation of fat cell differentiation (GO:0045598)	22/72	0.0241044417185381	0.502061086080408	0	0	1.51377535573721	5.6393568752552	CCDC71L;FTO;CEBPB;SMAD3;LMO3;AXIN1;RORA;CREBL2;TMEM64;FOXO1;ZFP36L2;ZFP36;CREB1;ZADH2;ENPP1;TRIB3;WDFY2;ZFPM1;TRIB2;CMKLR1;RUNX1T1;TRPM4
cellular response to decreased oxygen levels (GO:0036294)	20/64	0.0241141700704098	0.500221991338623	0	0	1.54817934109487	5.76689937073547	BNIP3L;ACAA2;EPAS1;BNIP3;HP1BP3;RORA;AQP3;NDRG1;AQP1;HIPK2;NPEPPS;CPEB1;RGCC;TERT;FAM162A;HMOX1;ADAM8;HYOU1;P4HB;CPEB4
positive regulation of phospholipase activity (GO:0010518)	8/19	0.0244741758637162	0.505634491629733	0	0	2.0859679543173	7.73922639522925	PDPK1;KIT;ARL1;AGTR1;PLAA;FGF2;FGFR3;FGFR1
acylglycerol biosynthetic process (GO:0046463)	8/19	0.0244741758637162	0.503595642873161	0	0	2.0859679543173	7.73922639522925	DGAT2;GK;GPAT4;LPL;GPAT3;LPIN1;LPIN2;LPIN3
strand displacement (GO:0000732)	10/26	0.0245901111372258	0.503949145113507	0	0	1.90545149673215	7.06048075142166	RAD51AP1;BARD1;RAD51B;BRIP1;WRN;RAD51D;RAD51C;RAD51;RBBP8;BRCA1
GPI anchor metabolic process (GO:0006505)	10/26	0.0245901111372258	0.501933348533053	0	0	1.90545149673215	7.06048075142166	DPM2;PIGB;PGAP2;PIGN;PIGA;MPPE1;PIGV;PIGF;GPLD1;PIGH
cellular protein modification process (GO:0006464)	227/1001	0.0252565762153988	0.513483300506693	0	0	1.12347399937194	4.13288865135434	APP;GMFB;GMFG;PSMD8;HERC5;C4A;PPP4R1;STS;LGALS1;PSMD2;PSMD3;FBXO4;PSMD1;FBXO6;ZNF720;BTRC;SKP2;DAPK1;PRKCB;DAPK3;COG3;CSNK1D;ALG1;BCR;CDC34;ADPRH;BTK;ULK1;PRKD2;ALG10B;UBA52;EPAS1;COPS7A;NLK;EVPL;C3;TGOLN2;HLCS;STC2;ST8SIA4;ST3GAL4;STK38L;PSMF1;APOE;ARSD;ST3GAL1;B3GALNT2;LYN;CDK17;SRPK2;CDK19;YES1;PLK2;INSR;PMM2;FUCA2;ABCA7;MSRA;PPP5C;WNK3;CDK15;BAP1;CDK16;PTPRR;CHM;PTPRK;PTPRH;WDR45;ANKRD9;PPP3CA;SERP1;JAK2;IKBKE;JAK1;DUSP5;MANBA;PARP4;DUSP1;COMMD1;SUMF1;DDB2;B3GNT9;B3GNT5;FAM20B;VWA1;MFGE8;GAS6;SGK1;PIGH;RNASEL;PHLPP1;ALOX12B;STYXL1;PSMB6;PSMB5;AGA;MAP4K3;MAP4K4;EGLN3;MAP3K1;KLHL2;PSMB9;KTN1;HIPK2;PSMC5;PSMC3;PSMC4;STK17B;KBTBD7;FRK;ERO1A;MPI;MYLK3;STK11;PIM1;MAP3K8;NEK3;FBXW5;CISH;IGFBP4;APLP2;MATK;VRK1;LMO7;FBXO11;KLHL42;CCNE1;PGP;TNIK;ERG;CUL9;PSMD11;PSMD13;FUT1;LTBP1;FBXO41;TIMM50;MTM1;SOCS2;IRAK1;BTBD1;STK36;FUT9;IRAK2;IGFBP7;SOCS6;ALG1L2;NEK6;NEK7;B3GALT4;ISG15;PHKB;BTBD6;CLK3;CDK9;COPS6;FER;PTPRC;CDK6;UBLCP1;STK24;GGCX;FES;MAN2B2;STK26;ALB;STT3A;MELTF;STT3B;CCDC22;MAP3K13;RAB5A;UBE2M;FBN1;FGFR1;ST6GALNAC1;DYRK2;LRRK2;POMT1;PTEN;LAMC1;DUSP11;PDPK1;HUNK;IRAK3;TGFBR2;VCAN;RCN1;CREB1;NPC1;PIK3CA;DAD1;PEAK1;BMP2K;ATG4C;PIK3C3;ATG4A;ATG4D;ASB13;ACVR1B;PSMB10;AURKB;PPM1G;AURKA;FBXL20;MAPK9;MKNK1;PHKG2;MKNK2;FYN;DCAF10;DCAF11;MAPK6;FNIP2;DCAF13;SLC35A1;FEM1B;PTPN12;CDC42BPA;MGAT4A;ASB9;RPS6KB2;PTPN9;PTPN6;P4HB;ASB1;METAP2
cellular transition metal ion homeostasis (GO:0046916)	27/93	0.0262757431041865	0.532083797859776	0	0	1.4383085491462	5.23416170222356	ATP6V1A;APP;SLC46A1;ALAS2;ABCB6;SLC40A1;ERFE;ATP7B;HEPH;FTH1;SLC39A6;ATP6V0A2;HMOX1;SLC39A7;SLC39A4;SLC30A9;SMAD4;NDFIP1;SLC30A5;SLC11A2;SLC39A10;SLC30A1;SLC39A14;CCDC22;UBA52;ABCG2;FTL
hexose metabolic process (GO:0019318)	15/45	0.0268513961255925	0.541591598533195	0	0	1.65139129716786	5.97380474304401	FUCA1;GAA;DCXR;PMM2;FUCA2;SORD;IRS2;OMA1;MAN2B2;FPGT;ALDOC;GALM;PCK1;SLC37A4;ALDOA
nicotinamide nucleotide metabolic process (GO:0046496)	15/45	0.0268513961255925	0.53945934814527	0	0	1.65139129716786	5.97380474304401	PFKFB2;PKLR;QPRT;NMNAT3;PDHB;BPGM;ENO2;HK1;NADK2;NT5E;LDHA;PKM;TP53I3;ALDOA;PFKM
negative regulation of intracellular signal transduction (GO:1902532)	43/161	0.0271631325390636	0.543582217046438	0	0	1.32316445549475	4.77119162644483	MAPKBP1;PHLPP1;GSTP1;ITPR1;PTEN;OTUD7B;TNFAIP3;RORA;PTPRJ;ARRB2;ADIPOR1;LIMD1;HDAC7;PYCARD;PREX1;FLCN;SPRED1;DEPTOR;TSPAN6;HYAL2;WWC3;INPP5K;MARK3;LYN;DUSP3;DUSP1;RIOK3;PPP2R5B;ATP2B4;CD2AP;CDC34;PIK3IP1;DLG5;DDIT4;MYADM;NF1;NDUFS3;MAPKAPK5;TRIB3;CCDC22;ZMYND11;DEPDC5;BCL2L1
organic hydroxy compound biosynthetic process (GO:1901617)	16/49	0.0275336482904757	0.548844559477725	0	0	1.61768943396036	5.81130089216356	PDXK;OSBPL7;OSBPL6;FAXDC2;CYP51A1;OSBPL2;AKR1C3;HSD17B4;MSMO1;ALOX12;HMGCR;CACNA1H;TM7SF2;SQLE;OSBPL1A;SLC27A2
glutathione metabolic process (GO:0006749)	16/49	0.0275336482904757	0.546708977534232	0	0	1.61768943396036	5.81130089216356	GSTM4;GSTM3;GSTM2;GPX1;GSTO1;GSTP1;MGST1;MGST2;CTNS;OPLAH;CNDP2;GCLC;ETHE1;CHAC1;HAGH;GCLM
ERAD pathway (GO:0036503)	23/77	0.0278421745776524	0.550692313448682	0	0	1.47981817538419	5.29952978744972	PRKN;VCP;HSPA5;AMFR;POMT1;SGTA;UBE4A;YOD1;UBE2G2;ERLIN2;RNF5;FOXRED2;PSMC5;NPLOC4;PSMC3;PSMC4;TMEM67;DNAJC10;FBXO6;STT3B;UGGT2;UBXN6;DZIP3
protein localization to microtubule organizing center (GO:1905508)	7/16	0.0278989589952711	0.549684894798719	0	0	2.16745107753282	7.75766699279745	NEDD1;MBD1;CSNK1D;CEP192;HOOK3;PIBF1;BBS4
sialylation (GO:0097503)	7/16	0.0278989589952711	0.547570722126416	0	0	2.16745107753282	7.75766699279745	ST6GALNAC1;ST6GAL1;ST3GAL4;ST3GAL5;ST3GAL1;ST6GALNAC4;ST6GALNAC6
regulation of energy homeostasis (GO:2000505)	7/16	0.0278989589952711	0.54547275001099	0	0	2.16745107753282	7.75766699279745	FLCN;MLXIPL;LEPR;CD36;METRNL;FOXO1;EIF4G1
regulation of glucose transport (GO:0010827)	7/16	0.0278989589952711	0.543390792949879	0	0	2.16745107753282	7.75766699279745	C3;C2CD5;PRKCB;SLC2A1;INPP5K;TRIB3;APPL1
protein phosphorylation (GO:0006468)	112/470	0.0282920994963191	0.548952789846831	0	0	1.18056909754979	4.20893269703685	APP;GMFB;GMFG;MYLK3;STK11;PPP4R1;PIM1;PDK3;MAP3K8;NEK3;STK32B;STK32C;PRKCB;DAPK1;DAPK3;MATK;VRK1;CSNK1D;UHMK1;BCR;CCNE1;BTK;ULK2;PRKD2;MAPKAPK5;ULK1;TNIK;ERG;EPHA3;TNKS;NLK;IRAK1;STK36;IRAK2;STK38L;CDK17;LYN;SRPK2;SMAD2;CDK19;PLK2;NEK6;INSR;NEK7;PHKB;CLK3;CDK9;FER;CDK6;STK24;FES;STK26;WNK3;MAP3K13;FGFR4;FGFR3;CDK15;CDK16;FGFR1;DYRK2;FLT3;MAST3;LRRK2;FLT4;EEF2K;ERC1;JAK2;IKBKE;JAK1;CAMK1D;PDPK1;HUNK;IRAK3;BAZ1B;TGFBR2;CCNA2;CREB1;PIK3CA;PEAK1;KIT;BMP2K;FAM20B;PIK3C3;TOP1;GAS6;SGK1;RNASEL;ACVR1B;AURKB;AURKA;MAPK9;RELN;MKNK1;PHKG2;MKNK2;FYN;MAPK6;FNIP2;MAP4K3;MAP4K4;MAP3K1;GTF2H3;CDC42BPA;MAPK14;MAPK15;MAPK12;HIPK2;STK17B;ABI1;RPS6KB2;PTPN6;FRK
negative regulation of cell cycle G2/M phase transition (GO:1902750)	21/69	0.0283011945179053	0.547049225851782	0	0	1.50779205393588	5.37505441250461	PSMD11;PSMD13;BRCA1;PSMB10;AURKA;PSMB9;PSMD8;PSMB6;BABAM2;FZR1;PSMC5;PSMB5;PSMC3;PSMC4;PSMD2;PSMD3;UIMC1;PSMD1;PSMF1;ATF5;UBA52
regulation of small GTPase mediated signal transduction (GO:0051056)	38/140	0.0285018715162185	0.548849246593445	0	0	1.34470434197955	4.78416964548838	FAM13B;FAM13A;ARHGDIG;ARHGAP18;ARHGAP15;ARHGAP5;ARHGAP6;SYDE2;FGD3;PREX1;FGD4;RELN;CHN2;ARHGDIB;NUP62;SRGAP3;ARHGEF11;VAV3;RALBP1;ARHGEF12;STARD8;MCF2;ARHGEF19;MYO9B;VAV1;CD2AP;ARHGAP23;VAV2;RHOB;BCR;TIAM2;ARHGAP33;NET1;DLC1;TRIP10;SOS1;SOS2;ARHGEF6
glycolytic process (GO:0006096)	9/23	0.0288292651280497	0.55306669153548	0	0	1.93858978363184	6.87494551861101	PFKFB2;LDHA;PKM;PKLR;BPGM;ENO2;ALDOA;PFKM;HK1
membrane assembly (GO:0071709)	9/23	0.0288292651280497	0.550995280705759	0	0	1.93858978363184	6.87494551861101	GAK;ANXA2;PTEN;FLOT1;LRP4;EMP2;ANK3;SPTBN1;S100A10
regulation of dendritic spine morphogenesis (GO:0061001)	9/23	0.0288292651280497	0.548939328165813	0	0	1.93858978363184	6.87494551861101	EFNA1;BHLHB9;SIPA1L1;RELN;LRRK2;CAPRIN2;PTEN;PDLIM5;LRP8
cholesterol efflux (GO:0033344)	9/23	0.0288292651280497	0.546898661518356	0	0	1.93858978363184	6.87494551861101	ABCA1;ABCA5;NPC1;SOAT1;NPC2;APOC1;ABCA7;APOE;ABCG2
protein autophosphorylation (GO:0046777)	46/175	0.0299283218547218	0.565645283054241	0	0	1.30223999433809	4.56949506419565	FLT3;LRRK2;FLT4;ACVR1B;AURKB;AURKA;STK11;EEF2K;IRAK1;GRAP2;MKNK1;MKNK2;PIM1;FYN;JAK2;JAK1;LYN;YES1;DAPK1;PDPK1;INSR;NEK6;DAPK3;MATK;VRK1;MAPK15;UHMK1;FER;STK24;FES;PEAK1;STK26;STK17B;WNK3;KIT;BTK;ULK2;MAPKAPK5;ULK1;PRKD2;TNIK;FGFR4;MAP3K13;FGFR3;FRK;FGFR1
regulation of cytokine-mediated signaling pathway (GO:0001959)	26/90	0.0305695885986294	0.575633249515889	0	0	1.43120579087882	4.99168742587608	RNASEL;CBFB;SPPL2A;TNFAIP3;USP18;PYCARD;IRAK1;IRAK2;JAK2;TRIM44;JAK1;IFNAR2;IFNGR1;SPHK1;IFNGR2;IRAK3;ELF1;PTPRC;IL7;AXL;TAX1BP1;PTPN6;GAS6;UBA52;PTPN2;BIRC3
protein tetramerization (GO:0051262)	26/90	0.0305695885986294	0.573516950804433	0	0	1.43120579087882	4.99168742587608	LRP4;HMGCR;PKD2;ACACB;HSD17B10;RYR3;CRYZ;RXRA;DNM1L;AASS;S100A10;DECR1;TRPM4;CPSF6;ANXA2;GPX3;KCNJ12;DCXR;INSR;NUDT21;CAT;TRPV5;CD247;ALDOA;ACPP;FARSA
regulation of protein binding (GO:0043393)	31/111	0.0309245875920345	0.578051906528029	0	0	1.38359811384335	4.80966887786686	PRKN;APP;LRPAP1;HDAC5;RALB;ROCK1;LRP1;USP33;LRRK2;CTSZ;IFIT1;AURKB;IFIT2;AURKA;ADD2;DNAJB2;BTBD1;TERT;FLOT1;CD36;LDLRAP1;AKTIP;AMFR;TMC8;SORL1;HIPK2;GNL3L;CAPRIN2;RAPGEF2;TRIB3;ZFPM1
multivesicular body sorting pathway (GO:0071985)	6/13	0.0312867482656994	0.58268714014549	0	0	2.28654179607858	7.9218627293958	LAPTM4B;RAB27A;RAB27B;SNF8;SYTL4;RILP
leukocyte differentiation (GO:0002521)	6/13	0.0312867482656994	0.580568277817688	0	0	2.28654179607858	7.9218627293958	LYN;FLT3;AXL;IKZF1;GAS6;RELB
regulation of cAMP-dependent protein kinase activity (GO:2000479)	6/13	0.0312867482656994	0.578464769564725	0	0	2.28654179607858	7.9218627293958	PRKAR1A;PRKAR2B;PRKAR2A;MST1;ATP2B4;RAPGEF2
regulation of cellular carbohydrate metabolic process (GO:0010675)	6/13	0.0312867482656994	0.576376449096983	0	0	2.28654179607858	7.9218627293958	PRKN;PDK4;PDK3;RORA;ADIPOR1;PDK2
transition metal ion transport (GO:0000041)	10/27	0.0321686951173277	0.590492270445048	0	0	1.8348792190754	6.30604225846335	SLC30A9;ATP7B;HEPH;TRPC4;SLC31A1;SLC30A5;TRPC1;SLC11A2;SLC30A1;SLC30A10
regulation of fibroblast proliferation (GO:0048145)	15/46	0.0326184432846832	0.596601849755335	0	0	1.61549148635987	5.52962930768738	GSTP1;SPHK1;PEX2;BMI1;AQP1;PARP10;CDK6;FTH1;PDGFC;NDUFS4;S100A6;NF1;CTNNB1;GAS6;TRIM32
receptor internalization (GO:0031623)	16/50	0.0331208491886883	0.603627476463845	0	0	1.58533564528115	5.40217755369027	CXCL8;LRP1;CD81;ITGB2;ADM;ARRB2;DNM1P46;RAB31;NEDD4;CD36;LDLRAP1;RAB5A;SCYL2;AP2M1;SNCA;PICALM
ubiquitin-dependent ERAD pathway (GO:0030433)	18/58	0.033491004107554	0.608201401995901	0	0	1.53750224219077	5.22209317141296	VCP;HSPA5;AMFR;SGTA;UBE4A;YOD1;UBE2G2;ERLIN2;FOXRED2;PSMC5;NPLOC4;PSMC3;PSMC4;TMEM67;DNAJC10;FBXO6;STT3B;DZIP3
ubiquitin-dependent protein catabolic process (GO:0006511)	83/341	0.0335349074523169	0.606839123153096	0	0	1.20585464221348	4.09407953905804	USP33;KIF14;OTUD7B;TNFAIP3;ARRB2;CDC20;PSMD8;UCHL1;PSMD2;PSMD3;PSMD1;BTRC;RNF111;MYLIP;RNF44;FBXW5;NHLRC3;ARRDC1;USP44;AXIN1;UBE4A;FBXO11;TOPORS;KLHL42;RNF144A;RNF144B;RNF125;CDC34;WDR81;PLAA;SPOPL;NHLRC1;UBA52;CLOCK;CACUL1;VPS28;PRKN;KLHL18;VCP;PSMD11;ANAPC16;PSMD13;UBA6;UHRF1;VPS4B;NEDD4L;AGAP3;RNF5;PSMB10;ANAPC11;PSMB6;ZNRF2;RNF213;PSMB5;C18ORF25;RNF216;BTBD1;PSMF1;TBL1X;DCAF11;UBE2H;HACE1;ANKIB1;CRBN;SMURF2;UBE2C;AMFR;ADRM1;UBE2G2;BTBD6;KLHL24;NTAN1;BTBD9;PSMB9;ABTB1;RNF145;PSMC5;NPLOC4;PSMC3;PSMC4;NEDD4;CTNNB1;TRIM32
regulation of vacuole organization (GO:0044088)	8/20	0.0337400369412378	0.608393669650658	0	0	1.98166955660144	6.71601705620077	SCARB2;LAPTM4B;IFT88;ANXA2;TBC1D14;TBC1D12;RAB5A;MTM1
regulation of sequestering of zinc ion (GO:0061088)	5/10	0.0339939648073818	0.610814093000244	0	0	2.4770869457518	8.37644854046869	SLC30A7;SLC30A6;SLC30A5;SLC30A1;SLC30A10
positive regulation of steroid metabolic process (GO:0045940)	5/10	0.0339939648073818	0.608670885656383	0	0	2.4770869457518	8.37644854046869	STARD4;APOC1;AGTR1;APOE;LDLRAP1
regulation of urine volume (GO:0035809)	5/10	0.0339939648073818	0.606542665776466	0	0	2.4770869457518	8.37644854046869	HYAL2;TRPV5;NPR3;INPP5K;ADM
positive regulation of T cell receptor signaling pathway (GO:0050862)	5/10	0.0339939648073818	0.604429276697106	0	0	2.4770869457518	8.37644854046869	TESPA1;RAB29;PRKD2;KCNN4;NECTIN2
regulation of DNA damage checkpoint (GO:2000001)	5/10	0.0339939648073818	0.602330563930796	0	0	2.4770869457518	8.37644854046869	ETAA1;FEM1B;THOC1;RPA2;THOC5
ganglioside biosynthetic process (GO:0001574)	5/10	0.0339939648073818	0.600246375128267	0	0	2.4770869457518	8.37644854046869	ST6GALNAC1;ST8SIA4;B3GALT4;ST3GAL5;ST6GALNAC6
regulation of B cell apoptotic process (GO:0002902)	5/10	0.0339939648073818	0.598176560041618	0	0	2.4770869457518	8.37644854046869	LYN;BCL6;BTK;IRS2;AURKB
tRNA pseudouridine synthesis (GO:0031119)	4/7	0.0343894995721135	0.603057100743969	0	0	2.83095650943062	9.54033477814848	PUS3;RPUSD4;PUS10;PUSL1
miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280)	4/7	0.0343894995721135	0.600991836700325	0	0	2.83095650943062	9.54033477814848	AGO3;AGO4;AGO2;DICER1
negative regulation of dendrite morphogenesis (GO:0050774)	4/7	0.0343894995721135	0.598940670022167	0	0	2.83095650943062	9.54033477814848	EFNA1;PTEN;RAPGEF2;YWHAH
strand invasion (GO:0042148)	4/7	0.0343894995721135	0.596903456858827	0	0	2.83095650943062	9.54033477814848	RAD51B;RAD51D;RAD51C;RAD51
fructose metabolic process (GO:0006000)	4/7	0.0343894995721135	0.594880055310153	0	0	2.83095650943062	9.54033477814848	SORD;AKR1B1;ALDOC;ALDOA
membrane fusion involved in viral entry into host cell (GO:0039663)	4/7	0.0343894995721135	0.592870325393564	0	0	2.83095650943062	9.54033477814848	HYAL2;CXCR4;GAS6;NECTIN2
peroxisome proliferator activated receptor signaling pathway (GO:0035357)	4/7	0.0343894995721135	0.590874129011768	0	0	2.83095650943062	9.54033477814848	RXRA;FAM120B;PDK3;ACTN4
zinc II ion transmembrane import (GO:0071578)	4/7	0.0343894995721135	0.588891329921124	0	0	2.83095650943062	9.54033477814848	SLC39A6;SLC39A10;SLC39A14;SLC39A4
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	4/7	0.0343894995721135	0.586921793700652	0	0	2.83095650943062	9.54033477814848	PRKN;CASP4;HSPA1B;HSPA1A
positive regulation of mRNA binding (GO:1902416)	4/7	0.0343894995721135	0.58496538772165	0	0	2.83095650943062	9.54033477814848	CDK9;EIF3E;EIF3D;EIF4G1
fusion of virus membrane with host plasma membrane (GO:0019064)	4/7	0.0343894995721135	0.583021981117924	0	0	2.83095650943062	9.54033477814848	HYAL2;CXCR4;GAS6;NECTIN2
copper ion import (GO:0015677)	4/7	0.0343894995721135	0.581091444756606	0	0	2.83095650943062	9.54033477814848	STEAP3;STEAP1B;ATP7B;STEAP1
negative regulation of glycoprotein biosynthetic process (GO:0010561)	4/7	0.0343894995721135	0.579173651209555	0	0	2.83095650943062	9.54033477814848	ABCA7;ITM2A;ITM2B;ITM2C
cleavage furrow formation (GO:0036089)	4/7	0.0343894995721135	0.577268474725313	0	0	2.83095650943062	9.54033477814848	SPIRE1;SNX9;SNX33;AURKB
regulation of protein localization to centrosome (GO:1904779)	4/7	0.0343894995721135	0.575375791201623	0	0	2.83095650943062	9.54033477814848	PARD6A;NUP62;CEP250;BICD1
malate metabolic process (GO:0006108)	4/7	0.0343894995721135	0.57349547815848	0	0	2.83095650943062	9.54033477814848	MDH1;MDH2;ME3;CELSR1
positive regulation of dendritic spine morphogenesis (GO:0061003)	4/7	0.0343894995721135	0.57162741471171	0	0	2.83095650943062	9.54033477814848	RELN;BHLHB9;CAPRIN2;LRP8
regulation of mitochondrial fusion (GO:0010635)	4/7	0.0343894995721135	0.569771481547062	0	0	2.83095650943062	9.54033477814848	PRKN;BNIP3;OMA1;PLD6
regulation of MDA-5 signaling pathway (GO:0039533)	4/7	0.0343894995721135	0.567927560894806	0	0	2.83095650943062	9.54033477814848	TKFC;RIOK3;C1QBP;DDX60
protein ubiquitination (GO:0016567)	119/506	0.0349339729658807	0.575058271112546	0	0	1.16511204167772	3.90813006189616	BACH1;PSMD8;HERC5;NPEPPS;HERC4;PSMD2;PSMD3;FBXO4;PSMD1;FBXO6;BTRC;SKP2;RNF111;HERC6;MYLIP;RNF44;FBXW5;NHLRC3;ARRDC1;UBE4A;LMO7;FBXO11;KLHL42;RNF125;CDC34;NHLRC1;UBA52;CBLL1;CUL9;KLHL18;VCP;PSMD11;ANAPC16;CBFB;TNKS;EPAS1;PSMD13;UBA6;KLHL17;NEDD4L;FBXO41;ANAPC11;RNF213;BTBD1;PSMF1;LONRF1;LONRF2;BARD1;UBE2H;HACE1;SMURF2;BTBD18;FANCL;UBE2C;SIAH2;KLHL28;LNPEP;KLHL23;ISG15;BTBD6;KLHL24;BTBD9;ABTB1;UBOX5;KLHDC8A;UVSSA;RNF182;TPP2;UBE2O;CCDC22;DZIP3;TRIM71;ARRB2;BRCA1;UNKL;PEX2;COMMD1;TOPORS;DDB2;PJA1;RNF144A;RNF144B;SPOPL;BIRC7;CACUL1;BIRC3;PRKN;UHRF1;RNF5;PSMB10;PSMB6;FBXL20;ZNRF2;PSMB5;C18ORF25;HECTD2;RNF138;SASH1;ANKIB1;CRBN;AMFR;MIB2;KLHL2;UBE2G2;KBTBD11;PSMB9;MIB1;RNF145;PSMC5;PSMC3;PSMC4;NEDD4;TSPAN17;ASB9;KBTBD7;RNF141;TRIM32;TRIM33;ASB1
glycerophospholipid biosynthetic process (GO:0046474)	43/164	0.0361987688974702	0.593962436282284	0	0	1.29896022765033	4.31089849594583	AGPAT5;ACHE;SLC44A1;ABHD3;INPPL1;PTEN;PIK3R3;PIK3R1;ABHD5;PLD6;PLD1;FGF2;MTM1;AGPAT4;PTDSS2;PTDSS1;INPP5F;IMPA1;GPAT4;INPP5K;CPNE3;GPAT3;CEPT1;PLA2G12A;AGK;SACM1L;PLEKHA4;DDHD1;PISD;INPP4A;PHOSPHO1;PITPNM1;PIK3CA;RAB14;LPCAT4;ETNK1;LPCAT2;FAR1;PIK3C3;LPIN1;RAB5A;LPIN2;LPIN3
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	12/35	0.0365200454339116	0.597313435414266	0	0	1.69857390565837	5.62209954351924	NOP14;RPS16;UTP23;RRS1;TSR1;NOC4L;UTP20;KRI1;PWP2;WDR46;RPS21;DCAF13
cholesterol biosynthetic process (GO:0006695)	12/35	0.0365200454339116	0.595405085780355	0	0	1.69857390565837	5.62209954351924	IDI1;SQLE;PLPP6;ACAA2;HMGCS1;CYP51A1;MSMO1;HMGCR;APOE;HSD17B7;LSS;TM7SF2
peptidyl-tyrosine phosphorylation (GO:0018108)	23/79	0.036964210136554	0.600727274926226	0	0	1.44235442410864	4.75660381632703	LYN;YES1;FLT3;FLT4;INSR;MATK;FER;RELN;FES;GRAP2;KIT;ABI1;BTK;FYN;PTPN6;JAK2;FGFR4;PIBF1;FGFR3;EPHA3;FRK;JAK1;FGFR1
anaphase-promoting complex-dependent catabolic process (GO:0031145)	23/79	0.036964210136554	0.598820204212174	0	0	1.44235442410864	4.75660381632703	PSMD11;ANAPC16;PSMD13;UBE2C;PSMB10;AURKB;AURKA;ANAPC11;PSMB9;CDC20;PSMD8;PSMB6;FZR1;PSMC5;PSMB5;PSMC3;PSMC4;PSMD2;PSMD3;PSMD1;PSMF1;SKP2;UBA52
protein localization to cell periphery (GO:1990778)	32/117	0.0377872988113474	0.610217043779449	0	0	1.35498773100953	4.43864474886278	ROCK1;STXBP1;LIN7A;F11R;LIN7B;EFR3A;RAB40C;BSG;P2RY1;FLOT1;RAB29;TSPAN5;INPP5K;TMED2;SPTBN1;S100A10;RAB8B;BBS2;TMEM150A;TESC;EMP2;ANK3;GAK;DLG1;PACS1;WNK3;MYADM;RAPGEF2;PKP3;TNIK;GAS6;MRAP2
