GO_Biological_Process_2018.Term	GO_Biological_Process_2018.Overlap	GO_Biological_Process_2018.P.value	GO_Biological_Process_2018.Adjusted.P.value	GO_Biological_Process_2018.Old.P.value	GO_Biological_Process_2018.Old.Adjusted.P.value	GO_Biological_Process_2018.Odds.Ratio	GO_Biological_Process_2018.Combined.Score	GO_Biological_Process_2018.Genes
cellular response to ammonium ion (GO:0071242)	10/23	0.378460787520056	0.959406556738622	0	0	1.13475821139411	1.10257965849935	GABRB3;PRKN;CRHBP;DIAPH1;CASP6;LRRK2;CASP3;ABL1;MAPK1;GABPA
negative regulation of axonogenesis (GO:0050771)	10/23	0.378460787520056	0.958930188041135	0	0	1.13475821139411	1.10257965849935	MCF2;ARHGDIA;RUFY3;ERCC2;OMG;PTEN;SEMA3G;LRP4;RHOA;RTN4
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	10/23	0.378460787520056	0.958454292166177	0	0	1.13475821139411	1.10257965849935	RYR2;GSTO1;FKBP1B;AKAP6;DMD;CALM3;SRI;CLIC2;CALM1;CALM2
positive regulation of ion transmembrane transporter activity (GO:0032414)	10/23	0.378460787520056	0.957978868410142	0	0	1.13475821139411	1.10257965849935	WNK1;TMSB4X;AKAP9;WNK3;ATP1B3;GLRX;DMD;ANK3;ATP1B2;CTSS
cholesterol efflux (GO:0033344)	10/23	0.378460787520056	0.957503916070821	0	0	1.13475821139411	1.10257965849935	ABCA1;STX12;SCARB1;ABCA5;SOAT1;NPC2;APOC1;ABCA7;APOE;ABCG2
microtubule polymerization or depolymerization (GO:0031109)	10/23	0.378460787520056	0.957029434447397	0	0	1.13475821139411	1.10257965849935	KIF18A;KIF2A;MAP7D3;CENPJ;STMN1;STMN3;KATNB1;KIF24;KIF2C;HDGFL3
negative regulation of fibroblast proliferation (GO:0048147)	8/18	0.378685973011436	0.957124576660406	0	0	1.1599750605362	1.12639144472392	PARP10;MORC3;GSTP1;MYC;NF1;PEX2;TRIM32;B4GALT7
regulation of mitochondrial membrane permeability (GO:0046902)	8/18	0.378685973011436	0.956650752612555	0	0	1.1599750605362	1.12639144472392	HEBP2;TMEM102;BCL2;MUL1;THEM4;PMAIP1;SLC25A4;BCL2L1
regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)	8/18	0.378685973011436	0.956177397465295	0	0	1.1599750605362	1.12639144472392	SCARB2;TRIM5;CARD8;PRKCA;CACTIN;TRIB1;SASH1;CD55
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	8/18	0.378685973011436	0.955704510522928	0	0	1.1599750605362	1.12639144472392	PDIA2;BAG5;HTRA2;HSPB1;AKT1;P4HB;SOD2;SIRT1
modulation by virus of host morphology or physiology (GO:0019048)	8/18	0.378685973011436	0.955232091091132	0	0	1.1599750605362	1.12639144472392	TGFB1;SMAD3;RXRA;VAPB;INSR;DAG1;KPNA5;HIPK2
positive regulation of actin cytoskeleton reorganization (GO:2000251)	8/18	0.378685973011436	0.954760138476957	0	0	1.1599750605362	1.12639144472392	BCAS3;BAIAP2L2;CDK5;FES;ABL1;STAP1;HCLS1;BAIAP2
glycogen catabolic process (GO:0005980)	8/18	0.378685973011436	0.95428865198882	0	0	1.1599750605362	1.12639144472392	AGL;RB1CC1;PGM2;PHKB;PYGL;CALM1;GYG1;PGM2L1
negative regulation of protein transport (GO:0051224)	8/18	0.378685973011436	0.953817630936506	0	0	1.1599750605362	1.12639144472392	RHBDF1;SNX3;NDFIP2;NDFIP1;RSAD2;ERP29;WWP2;CSK
activation of protein kinase activity (GO:0032147)	92/233	0.379673800949137	0.955833944866033	0	0	1.03053578339482	0.998014973451155	CD81;LRRK2;PARK7;PIK3CB;CRKL;STK10;PEA15;AKT1;PLCE1;JAK2;MAP3K6;MAP3K7;MAP3K4;MAP2K3;MAP4K2;MAP2K4;MAP2K1;MAP2K2;RIPK2;SLC11A1;STRADB;PRKCD;MINK1;F2R;EMP2;ATG13;TGFBR2;TOM1L1;PRKAR1A;ADORA2B;KIT;MADD;MAPKAPK2;RAPGEF1;ERP29;ITGB1BP1;TLR6;UBE2V1;TNIK;GAS6;CARD14;MAPKAP1;ADCY3;NOD1;TXN;STK4;ADCY7;TANK;MALT1;STK3;C5;PAK1;RAP1A;UBB;IRAK2;PRKAR2A;MAP3K20;ABL1;MAPK1;RICTOR;PLCG1;CLSPN;ECT2;PAK2;PIBF1;MAP4K3;MARK2;MAP4K4;PAK4;MAP3K2;NTRK1;MAP3K3;OSBPL8;MAP3K1;NEK4;GADD45A;KIDINS220;INSR;EIF2AK2;PILRB;TNFRSF10A;MTOR;CCDC88A;PINK1;TAOK3;STK25;MT-RNR1;STK26;UBE2N;TAB3;TAB2;TAB1
positive regulation of GTPase activity (GO:0043547)	76/192	0.384459544378285	0.96740485944891	0	0	1.03310278829005	0.987560220285455	ITGB1;DOCK9;CCDC125;DOCK8;DOCK7;F11R;DOCK10;SYDE2;DOCK11;SIPA1L1;TBC1D30;TBC1D22A;TBC1D10A;TBC1D22B;RGS6;NDEL1;ARHGEF10;BCAS3;RALBP1;CDKL5;USP6;RALGAPA2;F2R;RHOG;SCRIB;TSC1;ARAP1;BCR;TBC1D1;TBC1D20;TBC1D4;ALS2;TBC1D5;TBC1D7;RAPGEF1;PKP4;PRTN3;ARHGEF7;TBC1D9B;RABGAP1;RGS16;RAP1GDS1;RAP1GAP;ABR;RAP1A;SH3BP1;TBC1D13;PIP5K1A;TBC1D14;SNX9;RSU1;TBC1D12;TBC1D17;SRGAP2;ECT2;EVI5;TBC1D15;S100A10;TBC1D8B;NTRK1;RABGAP1L;ARHGEF37;SEMA4D;GRTP1;CAV2;ARHGAP23;NET1;TBCK;SGSM3;SGSM2;NF1;RGS10;RUNDC1;AGRN;RAB3GAP1;PICALM
positive regulation of transcription, DNA-templated (GO:0045893)	434/1120	0.390281111477251	0.981569498210159	0	0	1.011353255905	0.951570143101003	ATF1;ATF2;ZNF175;SPI1;SCX;HNRNPU;RBPJ;GABPB1;GABPAP;DCAF6;ELK4;PSMD9;TBK1;MYC;MYB;CREB3L2;NAMPT;AKT1;JUNB;IER5;RNF111;IER2;MEF2A;RPL23;WDR75;SOX12;HCFC1;DDIT3;RFX5;HOXB4;TBPL1;HOXB3;MAML3;ATF5;CLOCK;ATF3;ASF1A;ZNF398;PRKDC;GATA5;WDR61;BCL10;ZNF24;GATA2;GATA1;HIF1A;NUP85;MYO6;RREB1;PPARGC1B;NFE2;CREBBP;JUN;JAG1;JUP;FZD5;FZD4;EIF2AK3;NFATC3;PBX2;TRIP4;NR1D2;NFATC1;INO80;NR1D1;SETX;MLLT10;HNRNPK;AGO1;AGO2;SNAI1;REL;MMS19;CDK12;CDK13;ZNF496;FANK1;CDKN1C;ARF4;SETD3;TGFB1I1;TCF20;CTCF;EFCAB7;LITAF;WDR43;MED17;MED12;IKBKB;EDRF1;MED14;ING2;NKRF;SPIN1;TEAD1;TEAD4;SS18;RIPK2;TESC;TCF12;TET1;FOS;SIRT1;SETSIP;KAT2B;KAT2A;MED24;TAL1;MED21;TET3;MTF2;CKS2;RARA;AHRR;HCLS1;PPARA;PPARD;RNASEL;ELOF1;BCLAF1;EPCAM;PLAGL1;NSD1;LEO1;STAT6;BRD4;WWOX;CDKN2B;STAT1;PCGF5;NR1H2;STAT3;GTF2H1;RRP1B;HIPK2;PSMC5;RYBP;WT1;NFIC;AGRN;RORA;PARK7;HMGN5;CDH1;RUVBL2;SMARCAD1;PIM2;ZNF567;HMGN1;MEN1;MAP2K3;SUPT16H;MAP2K1;MAP2K2;F2R;THOC1;MITF;ILF2;PIAS2;PIAS1;KAT6A;ZNF318;PGR;ERG;SQSTM1;KMT2E;KMT2D;BLM;ENY2;KMT2B;FOXO4;PHB;FOXO3;NPAT;DDRGK1;ZKSCAN3;ZNF300;NEK4;ESRRG;FOXN3;BTBD8;NFKB2;CDK9;RGCC;COPS5;SP1;SP3;TADA3;NFE2L3;LHX4;MNAT1;OGT;NFE2L1;RNF187;CIITA;CALCOCO1;AKAP8L;ARRB1;PAGR1;HHEX;UBTF;CEP290;PELP1;NCK1;BCAS3;ATRX;ZFP90;PPM1A;DNAJC2;TFDP1;ZNF516;HDAC4;HDAC5;SMARCD1;GTF2A2;CEBPB;HDAC2;NUFIP1;SMARCD3;UHRF1;PLAG1;WBP2;ZBTB49;CEBPG;CXXC1;LRP5;NLRC5;MLLT3;LRP6;TP53INP2;ANKAR;E2F1;ZNF746;E2F2;E2F3;E2F4;E2F5;TRIM44;E2F7;E2F8;RNF20;MACC1;CDC5L;HNRNPAB;MTOR;KLF1;ASXL1;KLF6;ZNF613;CEBPZ;PFKM;APP;CCNK;CCNH;CCNC;IKZF2;IKZF3;RPS6KA4;ZNF609;CHEK2;CHEK1;RPS6KA1;CCNL2;SOX4;ACVR1;SMARCC1;SMARCC2;SLC11A1;FOXH1;RUNX2;RUNX1;NIF3L1;TFAM;ZNF711;TRIM16;CCNQ;ZFPM2;BEX1;DHX9;TXK;PIK3R1;RTF1;SEC14L2;DHX33;DHX36;ZBED1;INPP5K;TP53BP1;FADD;ZBED3;WWTR1;XRCC6;SS18L1;SS18L2;LIF;SMARCA2;SMARCA4;ID2;CREBRF;TP73;CITED2;AKR1B1;BRCA1;AATF;NAT14;RPTOR;PPP3CA;MYDGF;GABPA;VENTX;NCOA1;NCOA2;SREBF1;PARP1;NCOA3;NCOA4;RHOG;NME2;TFB2M;PPRC1;PARP9;SUPT3H;SREBF2;NCOA7;ARHGEF2;PRKN;SP100;HEATR1;ARNTL2;RELB;ARNTL;RXRA;HSF2;HSF1;MAP3K2;NPM1;NFYA;GRHL1;KLHL6;CAMK4;CTNNB1;KDM1A;CD81;ICE2;CD80;PRDM2;ETS2;EP300;NANOS1;POU3F1;CCNE1;UBE2V1;MZF1;PSEN1;RAI1;UBB;TASP1;OTX1;SMAD2;SMAD1;SMAD4;TGFB1;SMAD3;POU2F1;VDR;ALYREF;ECD;HMGA2;SMAD5;AHI1;TLX2;CAPRIN2;TAF4B;TCF4;TCF3;PICALM;PHF19;KDM5A;THRB;THRA;CHD8;HMGB2;TRIAP1;HMGB1;PKD2;MYSM1;PKD1;IRF2BPL;FLCN;NUP62;MYBL2;YWHAH;ARHGEF11;UTP15;KLF10;KDM6B;RBM14;CKAP2;ARID1A;ETV4;KLF15;ETV5;SENP1;ELF1;CREB1;RBL1;ELF4;THRAP3;IRF1;ITGB1BP1;IRF6;ZP3;KDM3A;MOSPD1;TAF1L;RNF4;DDN;HES1;TNIP1;TNIP2;ERCC2;TAF7;NAA16;NAA15;LPIN1;PAXBP1;SSBP2;LPIN2;RBMX;TAF2;RAN;LPIN3;TAF1;ZPR1
negative regulation of cell projection organization (GO:0031345)	17/41	0.3952743969388	0.993638052994431	0	0	1.08217185525633	1.00444494774423	KANK1;MYLIP;PRNP;HDAC2;PAQR3;CIB1;RTN4RL2;CBFA2T2;STX1B;BAG5;ERCC2;RAB29;PTPN9;SPRY2;FYN;APOE;FKBP4
gluconeogenesis (GO:0006094)	17/41	0.3952743969388	0.993148817123926	0	0	1.08217185525633	1.00444494774423	SLC25A1;GPI;TPI1;MDH1;PGAM1;GOT2;ENO1;BPGM;ENO3;PGK1;SLC25A10;SLC37A4;SLC25A12;ALDOA;GAPDH;PCK2;SLC25A13
DNA duplex unwinding (GO:0032508)	17/41	0.3952743969388	0.99266006278479	0	0	1.08217185525633	1.00444494774423	PIF1;BLM;PARP1;DHX9;CETN2;XPA;GTF2H1;CHD1L;GTF2H2;GTF2H3;GTF2H5;RBX1;CUL4A;WRN;UBB;ERCC2;ASCC3
positive regulation of cellular biosynthetic process (GO:0031328)	63/159	0.395743001899557	0.993348026902824	0	0	1.03412870962897	0.958627245044049	PIWIL2;RPL5;SCARB1;LPGAT1;DYRK2;FMR1;EIF4A3;HBB;IRS2;PARK7;PKD2;AREG;ELAVL1;RBM3;EPM2AIP1;MYC;AKT1;ZNF205;CD36;SOX4;SREBF1;STARD4;HSP90AA1;ELOVL5;PRMT1;CIRBP;LARP4B;PASK;CNEP1R1;DNA2;TLR6;GPLD1;PAOX;PLIN5;PCNA;DHX9;DBF4B;ARPP19;HIF1A;PDGFC;SNCA;YTHDF1;NPM1;SMAD3;YTHDF3;INSR;NR1H2;MID1IP1;PYM1;SAMD4A;UPF3A;NR1D1;EEF2;ASS1;MTOR;RGCC;P2RX4;EIF6;SP1;EIF3E;CALR;VIM;PTPN2
positive regulation of endocytosis (GO:0045807)	26/64	0.397027502990592	0.99608227520206	0	0	1.06028970377137	0.97944232083725	CD63;CD151;LRP1;HFE;NEDD4L;GATA2;CBL;RAB21;LMAN2;FLOT1;APOE;LDLRAP1;B2M;LYAR;SNCA;CAMK1D;SLC11A1;HIP1R;RAB27A;ABCA7;HNRNPK;PPT1;CALR;GAS6;DOCK2;CBLL1
positive regulation of cytoskeleton organization (GO:0051495)	31/77	0.404139352700452	1	0	0	1.05075662951169	0.951980807427115	GPSM2;NCKAP1;WDR1;NUMA1;MYLK3;BAIAP2L2;CFL2;RAC2;ABL1;STAP1;NCKAP1L;NCK1;VASP;BCAS3;CARMIL1;DYNC1H1;SPAG5;NCOA3;LIMK1;RHOG;RHOH;BAIAP2;P2RX7;FER;CTTN;CDK5;FES;KATNBL1;HCLS1;PFN1;ARF6
regulation of p38MAPK cascade (GO:1900744)	11/26	0.408389160974818	1	0	0	1.10420702877965	0.988855746984425	DLG1;PHLPP1;GADD45A;PRMT1;ULK4;MINK1;PTPN22;EZR;AGER;MAP3K4;SASH1
negative regulation of catalytic activity (GO:0043086)	11/26	0.408389160974818	1	0	0	1.10420702877965	0.988855746984425	NANOS1;OXA1L;CAND1;DLC1;TMBIM1;NOSIP;TIMP1;ATP7A;PARP9;PHPT1;HDAC6
regulation of microtubule-based process (GO:0032886)	11/26	0.408389160974818	1	0	0	1.10420702877965	0.988855746984425	ATAT1;MACF1;DIAPH1;CYLD;TRAF3IP1;MEMO1;HDAC6;BICD2;EPHA3;CLASP2;KLHL42
negative regulation of cell cycle (GO:0045786)	29/72	0.408849961700638	1	0	0	1.05122739861093	0.940225177601226	BTG3;BTG2;BTG1;CDKN1B;HPGD;HTRA2;PTPRK;IPO7;SLC9A3R1;HHEX;RPS6KA2;CDK5RAP1;TP53BP2;MEN1;HEXIM1;TGFB1;SMAD3;DUSP1;CDKN2A;SCRIB;DLG1;LATS2;CDK6;PDCD4;TRIM35;HECA;TAF6;SIPA1;MAD2L1
glycoprotein biosynthetic process (GO:0009101)	29/72	0.408849961700638	1	0	0	1.05122739861093	0.940225177601226	POMT2;ST6GALNAC1;FUT10;POMT1;GCNT1;FUT1;FUT4;FUT9;ST3GAL4;ST8SIA4;GCNT2;MGAT1;SDF2;ATP7A;ST3GAL2;B3GALNT2;COG7;CSGALNACT2;ALG5;COG3;PMM2;ALG3;B3GALT6;POMGNT1;DDOST;TNIP1;DAD1;B3GNT5;FAM20B
regulation of cellular macromolecule biosynthetic process (GO:2000112)	245/631	0.408960882188665	1	0	0	1.01336965470773	0.906090056591732	ATF2;CYFIP1;APP;ZNF175;NUP107;EHMT2;ZMYND8;SMC3;BACH1;SOX21;RPL6;UBE2L3;RPS6KA4;ZNF606;CHEK2;MYB;GPBP1;ZNF600;SOX6;SOX4;HES6;ZNF283;ZFP1;ESCO1;HCFC1;THAP1;DDIT3;ZNF836;TFAM;ZSCAN26;PRKCQ;ATF5;CLOCK;ZNF398;ZNF275;ZNF395;ZNF274;MAGED1;ZNF391;NOLC1;BAZ2B;NLK;HIF1A;GATA1;ZNF26;HLTF;PATZ1;RREB1;PPARGC1B;ZNF146;WWTR1;CREBBP;ZNF263;BCL11A;INSR;TRIP4;NR1D2;ZNF35;SMARCA2;PUM3;CCDC88A;ZNF30;GTF2IRD1;ZNF138;CALR;ZNF136;SLC2A4RG;BTG1;ZNF490;ZNF43;TCF20;ASH2L;ZNF45;LIMD1;ING2;ZNF805;ZNF41;ZIK1;PRMT6;ZNF121;ZNF484;NCOA2;PRMT5;PRMT7;ZNF480;PRMT1;TSC22D3;PRMT3;NME2;RHOH;SUPT3H;MLF2;MED23;GCFC2;ZNF239;HCLS1;ZNF780B;ZNF780A;ZNF595;CDC123;SP100;ZNF471;MYCBP;SRRT;ZNF2;ZNF8;ARNTL2;ARNTL;TCOF1;NFIL3;ZNF229;ZNF468;BRD8;ZNF222;ZNF584;ZNF341;NFYA;STAT3;ZNF33B;NR6A1;MYBBP1A;WT1;ZNF219;ZNF74;ZNF577;ZNF211;ZFP28;ZNF354B;RORA;PRDM2;CELSR2;HMGN5;DACH1;ZNF81;POFUT1;ZNF83;SALL4;ZNF569;EP300;ZNF205;FADS1;ZNF322;ZNF561;USP3;MITF;TSC1;MYT1;SAP30;DMTF1;PSPC1;ZNF317;PPIE;GEMIN5;MAPKAPK5;UBE2V1;MZF1;ZNF552;ZNF672;NOTCH2;ANKRD17;ZNF792;KMT2D;ZNF670;CREM;FOXO4;PHB;FOXO3;SUPT6H;PHF21A;ATXN2;ABL1;ZNF789;ZNF668;ZNF426;ZNF546;ZNF543;ZNF300;ZKSCAN1;ZNF782;TRAPPC2;DENND4A;HMGA2;ESRRG;NFKB2;ZNF419;SP1;ZNF417;SP3;BHLHE40;ZNF776;TCF3;SP140L;ZNF775;PTTG3P;ZNF773;HP1BP3;CHD7;HMGB2;ZFP82;HMGB1;CHD3;RBM3;UBTF;HMG20B;HMG20A;ERC1;NUP133;ATRX;PTP4A3;ZNF516;ZNF514;TERF2IP;ZMYND11;PFDN5;MTPN;CEBPB;ZNF197;KDM3A;KDM3B;TGFBRAP1;CXXC1;ACVR1B;MLLT6;POLR2A;SAP30L;E2F1;ZNF286B;ASCC2;ZNF501;ZNF621;EIF4E;ZNF286A;RNF20;CDK11A;ZNF184;ZNF182;ZNF181;CDK11B;PML;KLF1;NUP35;ZNF611;SSBP2;METAP1;TAF1
regulation of GTPase activity (GO:0043087)	74/188	0.410351373009198	1	0	0	1.02731833818764	0.915075055925526	GPSM1;ITGB1;PLXND1;DOCK9;DOCK8;LRRK2;ARHGAP1;STMN3;F11R;ARHGAP35;DOCK10;SYDE2;DOCK11;SIPA1L1;TBC1D30;TMED2;PLXNC1;RGS6;NDEL1;VAV3;BCAS3;RALBP1;CDKL5;F2R;ARAP1;GMIP;VAV1;VAV2;BCR;TBC1D20;ALS2;TBC1D7;RAPGEF1;PKP4;PRTN3;ITGB1BP1;ARHGEF7;EPHA3;RABGAP1;RGS16;RAP1GDS1;RAP1GAP;FGD3;ABR;FGD4;RAP1A;RACGAP1;SH3BP1;CHN2;SNX9;RSU1;SRGAP2;ECT2;EVI5;TBC1D15;S100A10;ARFGEF1;NTRK1;ARHGEF37;SEMA4D;CAV2;RRP1B;PTK2;ARHGAP23;NET1;LRCH1;SGSM3;SGSM2;NF1;RGS10;PLXNB2;AGRN;RAB3GAP1;PICALM
glutathione metabolic process (GO:0006749)	20/49	0.411334837152535	1	0	0	1.06528321885977	0.946341905023815	GSTM4;GSTK1;GSTM3;GSTO1;GSTP1;GSS;GSR;MGST1;MGST2;CTNS;PARK7;OPLAH;CNDP2;GSTZ1;GCLC;ALDH5A1;CHAC1;HAGH;GCLM;MMACHC
regulation of reactive oxygen species metabolic process (GO:2000377)	20/49	0.411334837152535	1	0	0	1.06528321885977	0.946341905023815	PRKN;ARF4;GADD45A;SIRT5;BRCA1;AATF;PARL;TGFBR2;PINK1;EIF6;STK17A;NOXA1;RAC2;CYP1B1;PDK3;ROMO1;GRB2;SLC25A33;PLIN5;SNCA
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	20/49	0.411334837152535	1	0	0	1.06528321885977	0.946341905023815	NANOS1;GSTO1;TRPC1;F2R;AKAP6;SRI;JPH1;FKBP1A;SELENON;DIAPH1;UBASH3B;FKBP1B;DMD;CALM3;PLCG1;CLIC2;CALM1;CALM2;SNCA;F2RL3
protein heterooligomerization (GO:0051291)	20/49	0.411334837152535	1	0	0	1.06528321885977	0.946341905023815	MCCC2;TMEM120B;XRCC6;CPSF6;ANXA2;INSR;MCCC1;HBB;LRP4;HBA1;IKZF5;NUDT21;TRPS1;CHMP2A;RCC1;CHMP3;TMCC1;FARSA;S100A10;FARSB
cortical actin cytoskeleton organization (GO:0030866)	9/21	0.412913771490141	1	0	0	1.11854737980276	0.989373606261669	IKBKB;NCKAP1;DLG1;FMNL1;ROCK1;WIPF1;WIPF2;NCKAP1L;ARF6
cellular response to hexose stimulus (GO:0071331)	9/21	0.412913771490141	1	0	0	1.11854737980276	0.989373606261669	UNC13B;ERN1;TRA2B;PDK3;GAS6;ZNF236;SOX4;SLC26A6;PCK2
regulation of cardiac muscle hypertrophy (GO:0010611)	9/21	0.412913771490141	1	0	0	1.11854737980276	0.989373606261669	MEF2A;MTPN;SMAD4;P2RX4;PARP1;GLRX3;PRKCA;IL6ST;LMCD1
positive regulation of translational initiation (GO:0045948)	9/21	0.412913771490141	1	0	0	1.11854737980276	0.989373606261669	EIF2B5;PPP1R15A;KHDRBS1;YTHDF1;CDC123;YTHDF3;HABP4;POLR2G;MTOR
negative regulation of protein tyrosine kinase activity (GO:0061099)	9/21	0.412913771490141	1	0	0	1.11854737980276	0.989373606261669	ZFYVE28;SH3BP5L;MVP;CBL;CHMP6;VPS25;SOCS4;SNX6;SOCS5
negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	9/21	0.412913771490141	1	0	0	1.11854737980276	0.989373606261669	CDKN1C;HEXIM1;HHEX;CDKN1B;LATS2;CDKN2A;CDK5RAP1;IPO7;MEN1
hexose biosynthetic process (GO:0019319)	18/44	0.416673342380129	1	0	0	1.06770431708446	0.934724644030871	SLC25A1;GPI;TPI1;MDH1;PGAM1;GOT2;AKR1B1;ENO1;BPGM;ENO3;PGK1;SLC25A10;SLC37A4;SLC25A12;ALDOA;GAPDH;PCK2;SLC25A13
positive regulation of transport (GO:0051050)	18/44	0.416673342380129	1	0	0	1.06770431708446	0.934724644030871	CD63;DYNC1H1;CD151;ANXA1;LRP1;NUMA1;ANXA2;SPAG5;FMR1;MLC1;NEDD4L;CHORDC1;FLOT1;INPP5K;APOE;CBLL1;GPLD1;SNCA
regulation of steroid biosynthetic process (GO:0050810)	18/44	0.416673342380129	1	0	0	1.06770431708446	0.934724644030871	MBTPS1;SREBF1;HMGCS1;NFYA;HMGCR;ACACB;SIRT1;ACACA;SREBF2;TM7SF2;SEC14L2;GPAM;SP1;DGKQ;SC5D;SCAP;RAN;FDFT1
cellular response to dsRNA (GO:0071359)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	NPM1;RALB;DHX9;RIOK3;FLOT1;MUL1;PQBP1
positive regulation of dendrite morphogenesis (GO:0050775)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	CUL7;CDKL5;CUX1;SS18L1;CAPRIN1;CAPRIN2;LRP8
leukocyte adhesion to vascular endothelial cell (GO:0061756)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	ITGB1;SPN;ROCK1;ITGA4;GCNT1;ITGB7;ADD2
regulation of bicellular tight junction assembly (GO:2000810)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	IKBKB;OCLN;ROCK1;CBFB;SNAI1;NPHP4;RUNX1
regulation of energy homeostasis (GO:2000505)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	FLCN;LEPR;NR1D2;CD36;METRNL;PASK;EIF4G1
positive regulation of triglyceride metabolic process (GO:0090208)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	SREBF1;SCARB1;NR1H2;CNEP1R1;ABHD5;GPLD1;PLIN5
positive regulation of nitric-oxide synthase activity (GO:0051000)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	SCARB1;FCER2;GCH1;NPR3;AKT1;APOE;HIF1A
regulation of stem cell proliferation (GO:0072091)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	AGO3;EPCAM;LRRK2;HMGB2;EIF2AK2;HNRNPU;HMGA2
negative regulation of lipid storage (GO:0010888)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	ABCA1;OSBPL8;NR1H2;ITGAV;ABHD5;PPARA;PTPN2
leukocyte tethering or rolling (GO:0050901)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	ITGB1;SPN;ROCK1;ITGA4;GCNT1;ITGB7;ADD2
regulation of reactive oxygen species biosynthetic process (GO:1903426)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	RAB27A;PARK7;CD36;TLR6;SLC30A10;SLC25A33;SNCA
regulation of histone H3-K4 methylation (GO:0051569)	7/16	0.417270883163873	1	0	0	1.14185045021532	0.997999751595437	SMAD4;PIH1D1;MYB;CTNNB1;WDR61;BRCA1;BCOR
regulation of actin filament-based process (GO:0032970)	25/62	0.419022863263933	1	0	0	1.05239672830905	0.915406029692652	ROCK1;LRP1;RHOBTB3;ARHGAP18;ABRACL;ARHGAP17;ARHGAP35;CNN2;SH3BP1;ABL1;RICTOR;DMTN;PRKCD;ARHGEF19;HIP1R;TSC1;RHOC;BAIAP2;RHOA;MTOR;BST2;CCDC88A;DLC1;FSCN1;EPHA3
regulation of protein localization to early endosome (GO:1902965)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	MSN;EZR;SORL1
negative regulation of membrane potential (GO:0045837)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	HEBP2;PRELID1;PMAIP1
negative regulation of cholesterol storage (GO:0010887)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	ABCA1;NR1H2;PPARA
response to chemokine (GO:1990868)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	LRCH1;DOCK8;RHOA
arginine biosynthetic process (GO:0006526)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	CPS1;ASL;ASS1
histone-serine phosphorylation (GO:0035404)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	RPS6KA4;HMGA2;VRK1
response to granulocyte macrophage colony-stimulating factor (GO:0097012)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	ZFP36;NPR2;ZFP36L2
regulation of lymphocyte apoptotic process (GO:0070228)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	LYN;LGALS3;BTK
regulation of extent of cell growth (GO:0061387)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	CTTN;ABL1;APOE
lipoxin biosynthetic process (GO:2001301)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	HPGD;ALOX5;ALOX12
positive regulation of ATP biosynthetic process (GO:2001171)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	PINK1;TMSB4X;ENO1
regulation of phagocytosis, engulfment (GO:0060099)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	STAP1;NCKAP1L;ANO6
mRNA 3'-splice site recognition (GO:0000389)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	SF3A3;SF3A2;SF1
positive regulation of activin receptor signaling pathway (GO:0032927)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	SMAD2;CSNK2B;ACVR1B
negative regulation of receptor biosynthetic process (GO:0010871)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	ITGAV;NR1D1;PPARA
N-acetylneuraminate catabolic process (GO:0019262)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	NAGK;GNPDA1;GNPDA2
negative regulation of protein targeting to membrane (GO:0090315)	3/6	0.420769446831163	1	0	0	1.30497194310322	1.12967535891305	DMTN;INPP5K;ITGB1BP1
